,INTERCONNECTORID,DIRECTION,REGIONID,BIDTYPE,LOSSSEGMENT,MWBREAKPOINT,INDEX,MEANVALUE,UPPERBOUND,LHSCOEFFICIENTS,RHSCONSTANT,ROWINDEX,FROMREGIONLOSSSHARE,DISPATCHED
0,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,34,0,1943,0.0,0.0,-1.0530920000000001,9183.93,4463,0.52,0.0
1,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,34,0,1943,0.0,0.0,0.950992,7077.34,4464,0.52,0.0
2,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,35,9,1944,4.5,9.0,-1.058024486,9183.93,4463,0.52,0.0
3,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,35,9,1944,4.5,9.0,0.946438936,7077.34,4464,0.52,0.0
4,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,36,17,1945,13.0,8.0,-1.067341404,9183.93,4463,0.52,0.0
5,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,36,17,1945,13.0,8.0,0.937838704,7077.34,4464,0.52,0.0
6,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,37,25,1946,21.0,8.0,-1.076110268,9183.93,4463,0.52,0.0
7,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,37,25,1946,21.0,8.0,0.9297443679999999,7077.34,4464,0.52,0.0
8,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,38,33,1947,29.0,8.0,-1.084879132,9183.93,4463,0.52,0.0
9,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,38,33,1947,29.0,8.0,0.921650032,7077.34,4464,0.52,0.0
10,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,39,41,1948,37.0,8.0,-1.093647996,9183.93,4463,0.52,0.0
11,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,39,41,1948,37.0,8.0,0.913555696,7077.34,4464,0.52,0.0
12,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,40,49,1949,45.0,8.0,-1.10241686,9183.93,4463,0.52,0.0
13,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,40,49,1949,45.0,8.0,0.90546136,7077.34,4464,0.52,0.0
14,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,41,57,1950,53.0,8.0,-1.111185724,9183.93,4463,0.52,0.0
15,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,41,57,1950,53.0,8.0,0.897367024,7077.34,4464,0.52,0.0
16,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,42,65,1951,61.0,8.0,-1.119954588,9183.93,4463,0.52,0.0
17,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,42,65,1951,61.0,8.0,0.889272688,7077.34,4464,0.52,0.0
18,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,43,73,1952,69.0,8.0,-1.128723452,9183.93,4463,0.52,0.0
19,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,43,73,1952,69.0,8.0,0.881178352,7077.34,4464,0.52,0.0
20,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,44,81,1953,77.0,8.0,-1.1374923160000001,9183.93,4463,0.52,0.0
21,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,44,81,1953,77.0,8.0,0.873084016,7077.34,4464,0.52,0.0
22,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,45,89,1954,85.0,8.0,-1.14626118,9183.93,4463,0.52,0.0
23,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,45,89,1954,85.0,8.0,0.86498968,7077.34,4464,0.52,0.0
24,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,46,97,1955,93.0,8.0,-1.155030044,9183.93,4463,0.52,0.0
25,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,46,97,1955,93.0,8.0,0.856895344,7077.34,4464,0.52,0.0
26,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,47,105,1956,101.0,8.0,-1.163798908,9183.93,4463,0.52,0.0
27,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,47,105,1956,101.0,8.0,0.8488010079999999,7077.34,4464,0.52,0.0
28,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,48,113,1957,109.0,8.0,-1.172567772,9183.93,4463,0.52,0.0
29,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,48,113,1957,109.0,8.0,0.840706672,7077.34,4464,0.52,0.0
30,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,49,121,1958,117.0,8.0,-1.181336636,9183.93,4463,0.52,0.0
31,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,49,121,1958,117.0,8.0,0.832612336,7077.34,4464,0.52,0.0
32,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,50,129,1959,125.0,8.0,-1.1901055,9183.93,4463,0.52,0.0
33,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,50,129,1959,125.0,8.0,0.8245179999999999,7077.34,4464,0.52,0.0
34,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,51,137,1960,133.0,8.0,-1.1988743640000001,9183.93,4463,0.52,0.0
35,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,51,137,1960,133.0,8.0,0.816423664,7077.34,4464,0.52,0.0
36,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,52,145,1961,141.0,8.0,-1.207643228,9183.93,4463,0.52,0.0
37,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,52,145,1961,141.0,8.0,0.8083293279999999,7077.34,4464,0.52,0.0
38,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,53,153,1962,149.0,8.0,-1.2164120920000001,9183.93,4463,0.52,0.0
39,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,53,153,1962,149.0,8.0,0.800234992,7077.34,4464,0.52,0.0
40,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,54,161,1963,157.0,8.0,-1.225180956,9183.93,4463,0.52,0.0
41,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,54,161,1963,157.0,8.0,0.7921406559999999,7077.34,4464,0.52,0.0
42,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,55,169,1964,165.0,8.0,-1.23394982,9183.93,4463,0.52,0.0
43,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,55,169,1964,165.0,8.0,0.78404632,7077.34,4464,0.52,0.0
44,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,56,177,1965,173.0,8.0,-1.242718684,9183.93,4463,0.52,0.0
45,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,56,177,1965,173.0,8.0,0.775951984,7077.34,4464,0.52,0.0
46,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,57,185,1966,181.0,8.0,-1.251487548,9183.93,4463,0.52,0.0
47,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,57,185,1966,181.0,8.0,0.767857648,7077.34,4464,0.52,0.0
48,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,58,193,1967,189.0,8.0,-1.260256412,9183.93,4463,0.52,0.0
49,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,58,193,1967,189.0,8.0,0.759763312,7077.34,4464,0.52,0.0
50,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,59,201,1968,197.0,8.0,-1.269025276,9183.93,4463,0.52,0.0
51,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,59,201,1968,197.0,8.0,0.7516689759999999,7077.34,4464,0.52,0.0
52,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,60,209,1969,205.0,8.0,-1.2777941400000001,9183.93,4463,0.52,0.0
53,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,60,209,1969,205.0,8.0,0.74357464,7077.34,4464,0.52,0.0
54,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,61,217,1970,213.0,8.0,-1.286563004,9183.93,4463,0.52,0.0
55,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,61,217,1970,213.0,8.0,0.735480304,7077.34,4464,0.52,0.0
56,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,62,225,1971,221.0,8.0,-1.2953318679999999,9183.93,4463,0.52,0.0
57,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,62,225,1971,221.0,8.0,0.727385968,7077.34,4464,0.52,0.0
58,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,63,233,1972,229.0,8.0,-1.304100732,9183.93,4463,0.52,0.0
59,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,63,233,1972,229.0,8.0,0.719291632,7077.34,4464,0.52,0.0
60,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,64,241,1973,237.0,8.0,-1.312869596,9183.93,4463,0.52,0.0
61,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,64,241,1973,237.0,8.0,0.7111972959999999,7077.34,4464,0.52,0.0
62,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,65,249,1974,245.0,8.0,-1.32163846,9183.93,4463,0.52,0.0
63,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,65,249,1974,245.0,8.0,0.7031029599999999,7077.34,4464,0.52,0.0
